Weather_ID,Timestamp,Location,Temperature_C,Rainfall_mm,Wind_Speed_kph,Humidity_pct,Weather_Condition
800029,2025-04-01 14:58:00,Salem,10.3,7.8,33.1,62.9,Stormy
800030,2024-02-22 13:13:00,Guntur,19.9,93.1,18.8,89.7,Rainy
800031,2025-02-08 14:55:00,Saharanpur,33.3,23.3,10.9,45.5,Rainy
800032,2024-08-13 17:46:00,Patna,35.4,46.6,13.8,36.2,Cloudy
800033,2024-05-04 08:41:00,Darbhanga,15.9,6.7,30.5,78.1,Rainy
800034,2023-06-13 05:44:00,Bokaro,16.2,21,36.3,81.4,Cloudy
800035,2024-02-11 20:12:00,Allahabad,40,51.5,19.2,38.9,Foggy
800036,2023-07-19 23:58:00,Vijayawada,10.3,64,10,48.9,Clear
800037,2023-03-07 00:14:00,Meerut,29.4,11.3,22.6,87,Rainy
800038,2024-06-18 15:17:00,Warangal,24.5,1.7,1,72.5,Stormy
800039,2024-07-31 22:14:00,Porbandar,28.8,96.4,33.1,46.5,Foggy
800040,2024-02-22 06:00:00,Bengaluru,25.2,18.4,39.2,93.1,Clear
800041,2024-06-14 00:37:00,Kohima,24.1,67.9,36.1,69.4,Rainy
800042,2023-03-24 05:17:00,Allahabad,44,18.5,23.9,47.9,Stormy
800043,2024-03-14 22:49:00,Guntur,44.4,98.6,3.2,93.1,Rainy
800044,2024-07-26 04:06:00,Karimnagar,20.2,98.3,33.1,60.5,Clear
800045,2023-02-07 03:23:00,Kohima,19.2,84.9,37.1,33,Clear
800046,2024-06-18 05:32:00,Bokaro,17.3,2.8,6,30.1,Foggy
800047,2024-12-03 10:25:00,Raipur,18.2,43,20.4,52.8,Stormy
800048,2023-06-26 19:12:00,Ujjain,22.8,93.4,36.3,34.9,Clear
800049,2024-08-14 21:02:00,Howrah,32.6,20,26.8,49.7,Rainy
800050,2023-02-23 09:45:00,Tuticorin,27.8,16.2,2.9,51.4,Foggy
800051,2023-06-10 05:54:00,Bengaluru,28.7,88,1.9,89.9,Stormy
800052,2023-09-23 01:01:00,Hosur,19.2,47.7,14.9,33.3,Rainy
800053,2023-10-11 01:09:00,Lucknow,43.8,39.1,38,93.8,Foggy
800054,2023-10-14 02:47:00,Shillong,17.9,60.4,4,36.6,Clear
800055,2023-06-17 14:30:00,Meerut,31.1,16.5,34.1,46.7,Stormy
800056,2023-05-01 07:13:00,Dehradun,22,76.7,20.9,43.2,Clear
800057,2023-11-11 19:35:00,Karimnagar,17.4,16.2,20.9,38.8,Rainy
800058,2023-09-02 19:35:00,Amritsar,10.9,85.4,39.8,79.2,Rainy
800059,2025-03-29 15:38:00,Rewa,29.2,54.2,3.9,85.3,Rainy
800060,2025-03-08 07:37:00,Ahmedabad,25.4,44.1,29.7,83.4,Rainy
800061,2023-06-07 08:10:00,Agra,18.4,94.1,6.5,89.6,Cloudy
800062,2024-08-20 06:45:00,Varanasi,44.2,68.7,35.6,30.6,Rainy
800063,2024-03-12 15:22:00,Aligarh,34.6,37.6,32.2,34,Clear
800064,2023-11-01 09:24:00,Aurangabad,17.3,16.5,39.7,87,Cloudy
800065,2024-09-09 18:37:00,Ludhiana,35.9,51.8,23.2,38.5,Foggy
800066,2024-02-14 15:28:00,Jodhpur,29.1,7.9,14.9,59.5,Foggy
800067,2024-04-06 06:33:00,Porbandar,36,17.4,19,75.2,Foggy
800068,2025-03-26 14:16:00,Nellore,39.2,22.4,36.1,70.8,Cloudy
800069,2025-03-17 18:30:00,Guntur,18.6,91.3,14.1,65.7,Cloudy
800070,2024-10-16 21:20:00,Silchar,44,31.5,34.7,35.5,Stormy
800071,2024-12-29 07:01:00,Amritsar,41.1,91.1,24.3,60,Foggy
800072,2024-07-05 16:37:00,Bhagalpur,28.9,94,28.5,80.7,Foggy
800073,2024-11-12 22:21:00,Vasai,16.1,91,2.2,38.8,Stormy
800074,2023-11-14 23:21:00,Agra,24.8,33.7,9.9,53.8,Rainy
800075,2023-12-30 07:14:00,Varanasi,42.7,94.7,37,35.6,Stormy
800076,2023-02-26 23:51:00,Kochi,35.6,86.4,37.2,39.4,Cloudy
800077,2024-02-23 21:59:00,Aurangabad,38.8,9.7,5.8,94.6,Cloudy
800078,2024-01-29 17:22:00,Jhansi,13.8,52.9,6.6,34.6,Foggy
800079,2023-09-07 14:16:00,Salem,32.7,25.8,37.5,35,Rainy
800080,2023-06-07 18:30:00,Siliguri,21.9,23.3,9.5,31,Foggy
800081,2023-11-03 18:44:00,Rajkot,35.3,60.6,32.1,63,Foggy
800082,2024-03-12 23:43:00,Lucknow,27.1,2.3,32.4,45.1,Cloudy
800083,2024-02-13 16:41:00,Itanagar,35.8,69.1,2.5,51.3,Foggy
800084,2024-10-08 11:59:00,Tuticorin,32.3,31.7,23.8,36,Cloudy
800085,2023-11-21 02:38:00,Gangtok,40.7,44.6,14.6,44.6,Stormy
800086,2023-09-07 22:10:00,Jabalpur,17.2,88.4,29.8,91.1,Rainy
800087,2023-04-22 04:27:00,Chandigarh,28.4,79.5,28,60.9,Clear
800088,2023-04-27 13:02:00,Dhanbad,10.6,71.7,16.7,89.3,Clear
800089,2023-11-14 23:44:00,Navi Mumbai,14.1,20,18.6,48.1,Stormy
800090,2023-11-03 17:47:00,Kohima,41.1,34.2,3.1,67,Foggy
800091,2025-04-04 09:45:00,Hosur,32.1,62,30.2,40.2,Clear
800092,2024-09-25 07:25:00,Coimbatore,43.2,28.3,24.2,37.6,Foggy
800093,2025-01-27 21:25:00,Hosur,35.8,47.5,31.2,78.3,Cloudy
800094,2025-01-07 16:20:00,Tuticorin,21.6,99.5,32.6,69.2,Stormy
800095,2023-10-10 11:32:00,Faridabad,14.3,14.4,20.8,48.5,Rainy
800096,2023-02-25 22:03:00,Ghaziabad,41,23.9,7.8,34.8,Cloudy
800097,2024-12-31 06:54:00,Berhampur,15.9,30.2,27.1,75.6,Rainy
800098,2024-12-08 00:10:00,Ghaziabad,34.2,25.1,29.7,48.8,Cloudy
800099,2023-06-24 01:01:00,Ranchi,38.5,71.5,19.8,51.4,Cloudy
800100,2024-01-18 00:28:00,Mumbai,14.7,33.6,32.8,61.9,Cloudy
800101,2025-02-18 11:23:00,Karimnagar,13.7,58.3,23.3,37.2,Stormy
800102,2024-05-01 11:01:00,Jhansi,24.4,8.8,2.1,64.6,Rainy
800103,2023-08-02 02:19:00,Rajkot,40.9,66.6,11.6,39.7,Clear
800104,2025-01-23 13:26:00,Pimpri-Chinchwad,42.3,53.3,14.6,40.6,Rainy
800105,2024-01-15 08:54:00,Rewa,17.6,32,13.7,73.6,Stormy
800106,2024-07-06 15:37:00,Shillong,32.5,94.8,25.5,85.8,Foggy
800107,2024-10-15 02:52:00,Kolkata,21.7,74.4,16.2,38.8,Cloudy
800108,2023-12-04 00:50:00,Pimpri-Chinchwad,34.9,88.3,32.2,84.4,Rainy
800109,2024-06-03 18:53:00,Asansol,16.7,37.5,31.9,32.8,Foggy
800110,2023-01-30 00:24:00,Bathinda,15.7,54.4,18.3,58.8,Clear
800111,2025-03-05 20:26:00,Warangal,12.4,59.8,33.5,40.3,Stormy
800112,2023-11-19 19:41:00,Visakhapatnam,28.5,80.6,26.2,33.1,Stormy
800113,2023-06-30 15:22:00,Noida,43.5,82.9,37.8,30.7,Cloudy
800114,2024-09-16 23:08:00,Rewa,32.3,18.3,15,66.8,Rainy
800115,2024-11-09 21:32:00,Mangalore,30.4,25.9,5.2,59.1,Stormy
800116,2023-10-24 09:02:00,Jhansi,33.4,78.7,8.1,34.7,Foggy
800117,2024-06-09 22:24:00,Guwahati,12.2,90.1,32,71.4,Foggy
800118,2024-03-06 13:11:00,Faridabad,38.3,72.4,5.3,38.2,Stormy
800119,2023-08-31 02:58:00,Dhanbad,15.2,29.3,14,70.8,Stormy
800120,2024-01-19 12:45:00,Bilaspur,16.4,79.2,14.8,36.8,Clear
800121,2024-10-14 08:06:00,Jabalpur,31.7,71,19.1,47.4,Clear
800122,2023-10-26 07:58:00,Tirupati,32.2,97.8,6.6,73.4,Cloudy
800123,2024-12-26 20:05:00,Vadodara,44.2,42.4,1.5,54.4,Rainy
800124,2024-05-05 18:09:00,Coimbatore,15.7,84.5,13.5,36.8,Clear
800125,2024-10-31 03:19:00,Ranchi,28.5,76.5,17.5,61.3,Rainy
800126,2025-02-05 17:21:00,Vadodara,41.7,86.1,9,84.6,Foggy
800127,2023-12-07 12:33:00,Asansol,34.6,23.4,24.8,41.3,Stormy
800128,2023-05-20 11:30:00,Satna,43.8,73.8,7.1,86.1,Stormy
800129,2024-10-23 01:54:00,Tirunelveli,44.5,41.5,36.6,76.1,Rainy
800130,2025-04-06 02:45:00,Hosur,36.2,44.3,17.8,91.7,Cloudy
800131,2023-08-28 06:51:00,Thrissur,31.8,59.6,30.2,85.8,Cloudy
800132,2023-07-27 16:09:00,Ajmer,42.8,89.8,9.4,87,Foggy
800133,2025-01-30 05:56:00,Chandigarh,15.8,33.5,35.8,81.2,Rainy
800134,2025-02-27 02:36:00,Ajmer,23.5,95,7.5,56,Clear
800135,2023-04-28 10:05:00,Jhansi,38.5,48.8,8.6,36.9,Clear
800136,2024-05-17 13:05:00,Amaravati,11.4,21.3,7.2,49.6,Foggy
800137,2023-09-08 05:23:00,Itanagar,23.1,51.8,19.5,40.1,Stormy
800138,2024-08-17 17:32:00,Aurangabad,34.9,90.1,0.9,48,Foggy
800139,2025-02-14 20:12:00,Vadodara,39.2,68.2,8.5,72.6,Stormy
800140,2023-04-13 04:08:00,Jhansi,40.6,27.5,15,54.6,Stormy
800141,2023-07-25 16:01:00,Vizhinjam,17.5,83.1,35.9,72.4,Clear
800142,2024-05-20 04:41:00,Chandigarh,24.3,34.5,7.8,87.5,Foggy
800143,2023-01-12 01:15:00,Tuticorin,16.9,46.3,24.3,85.9,Stormy
800144,2024-10-24 15:11:00,Solapur,44.9,49.7,36.6,48.4,Clear
800145,2025-01-02 02:51:00,Bilaspur,27.8,88.3,16.1,55.4,Clear
800146,2024-04-25 11:44:00,Gwalior,29.2,39.2,18.6,81.6,Foggy
800147,2023-08-07 02:37:00,Vadodara,38.2,4.8,0.4,47.1,Cloudy
800148,2024-08-19 13:33:00,Bathinda,12.1,6.4,11.3,87.5,Clear
800149,2024-10-17 03:20:00,Bilaspur,10.7,87.4,29.6,35.7,Clear
800150,2024-10-16 13:45:00,Bhopal,24.5,76.6,30.2,66.3,Rainy
800151,2023-07-06 14:56:00,Kalyan,38.1,68.8,1.4,68.1,Stormy
800152,2025-02-01 22:44:00,Asansol,27.7,49.5,35.5,62.9,Cloudy
800153,2023-04-15 15:21:00,Madurai,28.1,67.5,21.5,91.6,Rainy
800154,2024-10-20 12:32:00,Ambala,43.4,64.9,4.1,74.3,Clear
800155,2023-02-28 16:38:00,Aizawl,13.8,18.6,28.5,77.4,Rainy
800156,2024-02-23 20:05:00,Tirupati,16.2,88.6,17.9,43.3,Foggy
800157,2023-10-14 22:08:00,Nellore,43.8,85.8,24.9,81,Stormy
800158,2024-03-01 12:53:00,Shillong,12,75.9,26.6,76.8,Foggy
800159,2023-12-07 17:06:00,Guwahati,34.4,76.5,1.2,57.8,Stormy
800160,2023-09-08 03:37:00,Meerut,22.4,35.1,36,39.5,Clear
800161,2024-05-11 01:16:00,Belgaum,21.8,31.7,23.5,84.4,Rainy
800162,2023-08-08 16:28:00,Varanasi,19.2,45.4,21,53,Clear
800163,2023-07-25 21:17:00,Pune,44.1,77,3.2,73.8,Rainy
800164,2024-06-27 07:54:00,Mumbai,30.1,92.3,36.6,43.7,Stormy
800165,2023-04-08 08:10:00,Nanded,25,49.1,20.5,93,Stormy
800166,2024-06-07 04:43:00,Nagpur,34.5,1.8,25.8,74.3,Stormy
800167,2024-03-10 16:41:00,Meerut,20.2,95.4,30,77,Cloudy
800168,2024-06-30 20:10:00,Hyderabad,21.5,79.2,3.8,63.8,Stormy
800169,2023-05-30 11:56:00,Kakinada,13.8,7.8,31.9,91.1,Rainy
800170,2025-02-02 22:48:00,Gandhinagar,19.7,36.7,29.6,44,Stormy
800171,2023-09-26 13:36:00,Bengaluru,17.9,33.3,16.4,66.1,Stormy
800172,2024-09-05 14:10:00,Chennai,17.2,33.1,23.1,73.2,Stormy
800173,2024-01-16 07:21:00,Nellore,33.4,86.8,38.6,79.5,Stormy
800174,2023-01-04 11:11:00,Jaipur,42.7,68.8,9.9,87.9,Clear
800175,2023-12-04 17:20:00,Vijayawada,20.7,4.4,38.7,86.6,Clear
800176,2023-07-06 04:14:00,Karnal,21.1,30.8,31.1,72.2,Clear
800177,2024-02-20 03:13:00,Ghaziabad,20.2,17.6,10.8,61.4,Clear
800178,2024-09-12 23:36:00,Kollam,37.1,31.6,13.5,47.4,Clear
800179,2025-04-03 21:45:00,Navi Mumbai,44.4,30.7,35.7,81.7,Stormy
800180,2024-12-17 20:32:00,Vadodara,26.3,95.4,18.7,82.4,Rainy
800181,2024-05-23 17:16:00,Amritsar,27.5,28.8,16.1,89.5,Stormy
800182,2023-12-07 06:56:00,Itanagar,44.6,76.8,40,87.4,Foggy
800183,2024-09-19 12:58:00,Jodhpur,27.5,71.8,6.1,93.6,Clear
800184,2023-01-22 16:06:00,Berhampur,38.8,6.5,11.3,51.9,Stormy
800185,2025-03-24 07:01:00,Hisar,28,76.3,9.9,66.4,Clear
800186,2025-03-17 06:11:00,Anantapur,39.5,30.2,26.4,84.3,Rainy
800187,2023-02-27 11:42:00,Ghaziabad,31.6,25.7,0.4,67,Stormy
800188,2024-01-03 16:25:00,Noida,36.6,16.9,29.3,74.2,Clear
800189,2024-06-27 05:59:00,Asansol,40.6,23.7,16.1,78.6,Foggy
800190,2024-10-10 18:25:00,Saharanpur,37.9,73,6.1,58.4,Clear
800191,2024-08-11 07:08:00,Hisar,23.3,51.3,28.3,70.9,Rainy
800192,2024-08-27 12:17:00,Aligarh,32.4,76.6,5,88.2,Clear
800193,2024-12-18 14:21:00,Srinagar,18.9,61.4,17.8,62.8,Cloudy
800194,2023-06-01 06:01:00,Kohima,23.4,92.7,37.2,45,Stormy
800195,2024-07-29 23:47:00,Thane,44.5,47.2,15.2,94,Rainy
800196,2023-01-03 11:51:00,Pune,35.4,32,9.6,84,Rainy
800197,2023-01-26 17:53:00,Moradabad,27.9,90.9,6.6,51.7,Rainy
800198,2024-08-22 06:30:00,Nellore,44.1,26.6,36.3,77.7,Rainy
800199,2023-03-18 04:20:00,Howrah,39.5,41.1,26.6,60.1,Rainy
800200,2023-04-26 03:20:00,Kochi,42.7,9.5,5.9,76,Clear
800201,2024-10-17 07:30:00,Kalyan,42.5,34.2,9.2,73.5,Stormy
800202,2024-07-04 03:06:00,Nellore,30,49.2,19.8,70.6,Rainy
800203,2023-08-01 07:24:00,Mangalore,37.7,71.8,26.9,94.4,Clear
800204,2024-01-18 17:16:00,Itanagar,30.2,35,36,53.6,Rainy
800205,2025-01-16 16:23:00,Vadodara,31.7,97.7,19.6,35.3,Rainy
800206,2025-03-07 19:24:00,Kollam,18.8,51,12.8,49.7,Cloudy
800207,2024-01-06 23:55:00,Delhi,36.2,7,14.6,38.9,Clear
800208,2024-07-23 13:53:00,Gangtok,25.6,66.6,31.3,78,Rainy
800209,2024-03-06 05:57:00,Bokaro,38.7,5.5,36.9,59.2,Foggy
800210,2023-03-21 00:10:00,Gandhinagar,40.8,71.2,32.5,73.6,Rainy
800211,2023-03-05 16:22:00,Kalyan,11.5,57.6,39.3,93.6,Cloudy
800212,2024-04-09 13:12:00,Saharanpur,26.6,20.8,16.2,86.8,Clear
800213,2025-02-20 22:02:00,Ghaziabad,29,7.4,15.1,60,Clear
800214,2024-03-12 19:17:00,Kochi,36.8,19.3,6.8,94.1,Stormy
800215,2025-02-09 13:04:00,Karnal,16.5,97,27.3,58.8,Stormy
800216,2023-11-15 23:16:00,Vasai,34.3,95.9,3.1,64.1,Foggy
800217,2024-04-11 00:32:00,Vasai,44.6,93.9,31.8,79.3,Foggy
800218,2024-02-29 12:32:00,Gaya,42.6,57.4,40,38.1,Rainy
800219,2023-10-18 04:27:00,Tiruchirappalli,15.8,71.8,13.4,71.3,Foggy
800220,2023-02-16 10:26:00,Panaji,39.7,9.4,9.4,88.1,Foggy
800221,2024-09-09 14:44:00,Solapur,23.4,73.9,9.3,46.3,Clear
800222,2024-07-07 08:25:00,Balasore,18.1,49.4,10.2,76.3,Rainy
800223,2024-10-24 22:37:00,Chennai,11.1,90,36.7,59,Clear
800224,2024-09-19 19:48:00,Nagpur,18.1,61.5,39.6,65.5,Clear
800225,2024-02-05 00:07:00,Ajmer,30,2.4,3.9,59.9,Clear
800226,2024-04-14 09:50:00,Gwalior,44.1,49.3,14.6,31.1,Cloudy
800227,2023-12-03 13:25:00,Anantapur,41.2,21.6,15.2,33.6,Foggy
800228,2023-08-06 18:57:00,Madurai,44.8,61.8,23.6,38.4,Rainy
800229,2023-11-06 03:08:00,Gwalior,13.9,86.4,9.3,86.7,Stormy
800230,2025-02-17 08:45:00,Navi Mumbai,30.5,75.6,34.9,36.9,Clear
800231,2023-04-24 03:29:00,Solapur,13.9,14.8,16.3,85.4,Clear
800232,2023-05-06 06:50:00,Rajkot,34,87.1,22.4,78.4,Cloudy
800233,2024-06-10 01:14:00,Delhi,25.4,21.7,25.6,89.6,Foggy
800234,2024-04-21 20:45:00,Thrissur,28.9,1.4,20,87.9,Stormy
800235,2023-03-05 20:20:00,Ahmedabad,15.7,97.1,15.6,53.9,Foggy
800236,2023-05-12 19:01:00,Guntur,32.9,64.8,17.9,77.1,Cloudy
800237,2025-03-01 11:24:00,Kota,43.1,35.7,19.3,46.1,Clear
800238,2024-06-03 18:40:00,Vijayawada,37.7,28.8,6.2,58.4,Stormy
800239,2025-02-24 18:56:00,Mangalore,30.1,74.5,25.9,39.5,Clear
800240,2024-12-27 00:28:00,Howrah,26.5,96.4,38.5,46.6,Cloudy
800241,2024-09-12 09:46:00,Bhopal,18.4,54.6,28.7,62.1,Clear
800242,2023-07-13 06:03:00,Surat,25.1,7.1,16.6,56.8,Clear
800243,2023-10-05 23:33:00,Berhampur,27.9,69.7,37.9,45.9,Rainy
800244,2023-05-09 23:04:00,Gandhinagar,30.6,41.7,29.4,70.5,Rainy
800245,2023-08-20 17:27:00,Bhopal,32.5,51.3,34.9,64.3,Stormy
800246,2024-02-20 21:26:00,Kota,26.2,24.4,10.8,64,Stormy
800247,2023-10-19 21:08:00,Jhansi,23.1,0.1,4.1,82.2,Rainy
800248,2023-10-08 18:03:00,Mysuru,25.8,30.3,14.1,39.6,Foggy
800249,2023-12-28 18:00:00,Hisar,33.5,98.8,33.5,36.8,Rainy
800250,2024-03-06 02:27:00,Nellore,37.1,59,4.9,81.4,Stormy
800251,2023-04-05 00:45:00,Visakhapatnam,40.4,10.9,11.6,85.8,Foggy
800252,2024-11-30 22:41:00,Balasore,20,40.1,23.8,81.3,Rainy
800253,2024-12-29 06:39:00,Amaravati,32.9,89,22.6,59.5,Cloudy
800254,2023-04-05 18:02:00,Belgaum,33.2,21.5,13.2,50.6,Cloudy
800255,2023-01-04 14:28:00,Imphal,30.3,93.7,34.2,42.3,Clear
800256,2024-08-31 04:09:00,Dharwad,29.3,38.1,14.3,83.9,Rainy
800257,2023-08-02 16:11:00,Paradip,41.6,76.1,36,64.3,Clear
800258,2024-10-28 21:53:00,Howrah,38.2,61.4,32.3,90,Cloudy
800259,2024-09-19 14:53:00,Tuticorin,37.8,92.7,0.7,77.8,Foggy
800260,2023-12-02 09:30:00,Ludhiana,21.8,72.2,19.4,71,Rainy
800261,2024-09-21 03:11:00,Rajkot,30.2,66.6,25.6,36.4,Foggy
800262,2025-01-30 20:57:00,Balasore,24.6,37.7,2.1,83.5,Stormy
800263,2024-09-18 02:30:00,Rewa,16.9,72.9,1.5,59.9,Foggy
800264,2024-04-16 02:24:00,Rohtak,12.5,26.2,27.8,37.1,Stormy
800265,2023-05-03 17:11:00,Gangtok,30,10.1,19.6,69.3,Cloudy
800266,2024-03-24 06:52:00,Salem,31.7,52.2,9.7,65,Cloudy
800267,2023-01-28 05:49:00,Berhampur,33.9,97.2,4.5,48.3,Stormy
800268,2024-11-25 05:35:00,Satna,45,98.8,1.4,76.2,Cloudy
800269,2023-05-31 13:26:00,Ujjain,28.9,56.8,14.2,60,Cloudy
800270,2023-08-28 21:24:00,Mysuru,10.7,18.6,7.8,93.3,Stormy
800271,2024-09-06 12:59:00,Kota,22.1,19.8,9.6,58.5,Foggy
800272,2023-03-19 11:58:00,Ahmedabad,25.5,91.1,38.8,32.4,Foggy
800273,2024-10-19 12:49:00,Nanded,20.2,99.1,29.2,66.3,Cloudy
800274,2023-12-31 12:48:00,Kohima,11.5,39.1,7.3,59.3,Cloudy
800275,2023-11-24 18:15:00,Varanasi,26.5,83,34.4,77,Rainy
800276,2024-07-12 16:10:00,Balasore,37.1,71.7,4,48,Stormy
800277,2023-09-15 11:55:00,Bathinda,25.8,9.2,22.5,92.8,Clear
800278,2023-09-09 09:08:00,Guwahati,44.3,22.3,33.1,36.6,Foggy
800279,2025-04-10 14:36:00,Noida,12.2,81.6,26.4,82.6,Cloudy
800280,2023-01-06 02:59:00,Hyderabad,22.1,86,14.1,69.8,Rainy
800281,2023-02-19 18:42:00,Gaya,29.4,77,31.9,73.7,Cloudy
800282,2023-01-25 17:28:00,Satna,25.6,54.3,3.4,37.8,Stormy
800283,2023-03-03 06:08:00,Shillong,31.4,26,3.1,34,Rainy
800284,2023-12-05 18:29:00,Vizhinjam,14.9,29.6,10.4,78.3,Stormy
800285,2024-03-19 08:32:00,Berhampur,26.4,14.7,3.2,52.5,Foggy
800286,2023-04-11 21:24:00,Hubli,33,3.1,34.8,39.6,Cloudy
800287,2023-12-20 12:33:00,Rohtak,17.6,62.6,3.9,54.8,Foggy
800288,2023-02-10 04:14:00,Noida,27.5,59.3,15.9,48.7,Clear
800289,2024-08-03 04:12:00,Delhi,36.5,97.4,7.2,51.8,Cloudy
800290,2024-02-28 09:00:00,Aizawl,11.2,24.5,35.4,31.3,Cloudy
800291,2023-11-19 01:31:00,Shimla,29.4,14.1,28.6,51.7,Cloudy
800292,2024-08-28 10:07:00,Allahabad,11.4,85.8,14.5,76.5,Foggy
800293,2024-04-21 00:51:00,Warangal,45,70.2,22.2,91.1,Foggy
800294,2023-04-02 18:43:00,Paradip,29.9,2.1,35.3,46.2,Rainy
800295,2024-04-16 13:27:00,Lucknow,23.3,94.1,20.5,47.2,Cloudy
800296,2024-01-11 13:27:00,Shillong,11.6,93.4,31.5,76.6,Cloudy
800297,2025-01-06 22:42:00,Allahabad,16.6,81.4,10.2,65.2,Stormy
800298,2023-12-02 12:19:00,Vijayawada,26.6,93.6,13.8,48.1,Cloudy
800299,2023-09-28 01:47:00,Gaya,15.2,60.9,5.1,85.4,Stormy
800300,2024-04-23 07:41:00,Kochi,35,46.7,39.3,87.6,Cloudy
800301,2023-06-10 00:40:00,Kochi,22.2,38.8,21.2,30.5,Rainy
800302,2024-01-14 02:25:00,Tiruchirappalli,15,73.7,20.9,70.1,Clear
800303,2023-08-27 15:32:00,Navi Mumbai,11.1,18.4,36.1,46.5,Foggy
800304,2023-04-08 08:15:00,Jamshedpur,35.6,96.6,11,94.6,Cloudy
800305,2025-01-04 16:05:00,Kochi,17.8,35.3,28.8,32.6,Clear
800306,2025-03-22 23:41:00,Moradabad,32.6,96.1,0.1,36.9,Rainy
800307,2024-09-07 12:00:00,Silchar,20.5,1.8,14.6,64.1,Cloudy
800308,2023-01-25 13:15:00,Tirunelveli,13.4,99.6,39.3,49.4,Stormy
800309,2024-04-15 23:10:00,Navi Mumbai,31,44,27.2,50.6,Rainy
800310,2023-07-06 18:58:00,Jaipur,15.5,87.5,7.5,54.4,Stormy
800311,2023-05-15 08:59:00,Gwalior,20.8,66.5,5.2,35.8,Rainy
800312,2023-07-28 21:29:00,Allahabad,22.4,55.1,1.3,80.9,Cloudy
800313,2024-07-26 11:25:00,Muzaffarpur,17.2,53.3,28.9,86.9,Cloudy
800314,2024-01-16 07:55:00,Agra,32.3,40.8,33.8,30.9,Stormy
800315,2023-09-04 06:24:00,Bareilly,13.3,57.7,28.7,55.4,Clear
800316,2024-02-09 23:26:00,Meerut,40.5,54.5,28.8,80.7,Clear
800317,2023-09-21 07:51:00,Siliguri,29.4,10.4,19.3,58.7,Rainy
800318,2024-06-16 11:59:00,Tirupati,38.8,97,34.2,52.4,Clear
800319,2023-05-28 05:50:00,Shillong,15.4,56.3,17.5,34.1,Clear
800320,2024-10-01 08:57:00,Anantapur,21.9,19.2,8.2,89.5,Rainy
800321,2024-09-29 00:01:00,Naya Raipur,27.2,69.4,36.1,60,Rainy
800322,2023-03-24 22:06:00,Berhampur,15.7,39.9,1.8,35.8,Rainy
800323,2024-12-24 07:05:00,Gandhinagar,30.7,4.7,21.4,70,Rainy
800324,2025-01-20 20:45:00,Kakinada,37.8,22.9,23.1,63.8,Rainy
800325,2023-02-11 21:20:00,Panaji,30.6,2.2,35.5,59.6,Clear
800326,2024-01-14 14:02:00,Vadodara,15.2,59.5,11.4,84,Stormy
800327,2024-03-29 15:59:00,Amritsar,38.3,37.8,16.4,78,Foggy
800328,2023-09-28 23:33:00,Allahabad,10.8,13,4.3,88.7,Rainy
