Session_ID,Station_ID,Vehicle_ID,Start_Time,End_Time,Energy_Consumed_kWh,Payment_Amount,Charging_Mode,Session_Status
900037,28305,63035,2024-02-13 00:18:00,2024-02-13 03:09:00,58.94,929.07,Fast,Interrupted
900038,10831,57983,2024-09-22 03:15:00,2024-09-22 04:46:00,42.35,1024.63,Normal,Scheduled
900039,29032,60524,2024-08-24 05:43:00,2024-08-24 08:25:00,12.03,272.12,Normal,Interrupted
900040,21311,55010,2024-05-29 15:55:00,2024-05-29 17:51:00,26,623.72,Trickle,Scheduled
900041,25028,50780,2024-11-11 04:16:00,2024-11-11 06:04:00,25.75,315.02,Fast,Scheduled
900042,19485,65015,2023-03-12 05:53:00,2023-03-12 08:50:00,55.59,1052.51,Fast,Scheduled
900043,10075,68798,2023-04-27 14:34:00,2023-04-27 15:08:00,52.23,580.48,Fast,Interrupted
900044,28916,58088,2023-11-02 05:48:00,2023-11-02 06:37:00,56.03,898.88,Trickle,Completed
900045,21706,64921,2025-03-03 14:16:00,2025-03-03 14:56:00,12.77,292.99,Normal,Scheduled
900046,14691,55569,2023-04-01 12:49:00,2023-04-01 13:25:00,26.78,333.61,Fast,Completed
900047,17117,62056,2025-01-14 04:47:00,2025-01-14 07:40:00,22.42,240.77,Fast,Scheduled
900048,20071,69847,2024-11-18 18:36:00,2024-11-18 19:51:00,18.12,261.96,Normal,Interrupted
900049,15040,56134,2023-11-30 07:29:00,2023-11-30 09:08:00,18.54,306.5,Fast,Interrupted
900050,17813,60532,2024-05-12 18:27:00,2024-05-12 19:26:00,54.97,1101.82,Trickle,Completed
900051,19280,68766,2023-03-06 23:37:00,2023-03-07 01:07:00,17.76,303.52,Normal,Scheduled
900052,23589,69282,2024-02-18 19:58:00,2024-02-18 22:06:00,25.34,517.84,Normal,Interrupted
900053,26115,60345,2024-01-04 02:38:00,2024-01-04 04:01:00,9.77,214.01,Normal,Completed
900054,28736,64941,2025-01-23 08:39:00,2025-01-23 10:01:00,54.2,1073.48,Fast,Completed
900055,19668,56182,2024-07-05 19:34:00,2024-07-05 20:30:00,50.25,923.97,Normal,Scheduled
900056,13666,54822,2023-08-18 20:46:00,2023-08-18 21:36:00,31.63,485.94,Normal,Completed
900057,20779,54214,2023-09-10 06:24:00,2023-09-10 08:38:00,22.77,548.45,Normal,Interrupted
900058,21607,57523,2024-05-16 22:41:00,2024-05-16 23:49:00,29.35,381.12,Fast,Completed
900059,24065,53661,2023-11-24 23:03:00,2023-11-25 00:16:00,54.65,1161.32,Fast,Completed
900060,29078,67432,2024-11-12 02:10:00,2024-11-12 03:18:00,26.56,385.43,Normal,Scheduled
900061,24658,61330,2023-10-22 07:22:00,2023-10-22 09:00:00,46.81,491.85,Normal,Completed
900062,11375,67702,2024-01-27 16:47:00,2024-01-27 18:30:00,30.63,679.97,Trickle,Interrupted
900063,25004,65471,2023-10-01 13:04:00,2023-10-01 15:25:00,39.61,480.12,Trickle,Scheduled
900064,14335,66082,2023-02-23 13:05:00,2023-02-23 14:48:00,5.21,70.75,Normal,Scheduled
900065,17460,57981,2025-03-27 12:04:00,2025-03-27 12:45:00,18.52,331.02,Trickle,Completed
900066,22627,65798,2024-08-07 03:15:00,2024-08-07 05:34:00,38.53,666.48,Fast,Scheduled
900067,16622,66196,2023-03-12 01:10:00,2023-03-12 03:17:00,54.31,1061.04,Trickle,Interrupted
900068,14622,69058,2024-06-16 19:26:00,2024-06-16 21:54:00,27.83,428.4,Normal,Completed
900069,24489,51619,2023-01-03 18:17:00,2023-01-03 19:22:00,19.69,281.67,Trickle,Scheduled
900070,12946,53583,2024-01-20 06:57:00,2024-01-20 08:41:00,13.89,200.54,Fast,Scheduled
900071,24855,60123,2024-10-07 10:03:00,2024-10-07 12:08:00,31.7,420.91,Fast,Completed
900072,16520,66680,2023-10-25 03:18:00,2023-10-25 05:45:00,15.49,159.94,Normal,Completed
900073,14792,55114,2025-02-06 18:25:00,2025-02-06 20:41:00,17.12,394.88,Trickle,Scheduled
900074,12194,57176,2024-10-20 16:09:00,2024-10-20 19:09:00,8.85,188.13,Fast,Interrupted
900075,21732,65711,2024-03-29 14:40:00,2024-03-29 15:59:00,40.52,709.91,Fast,Completed
900076,16555,61616,2023-03-10 04:43:00,2023-03-10 05:38:00,49.26,1008.89,Trickle,Completed
900077,25517,55329,2023-04-18 09:41:00,2023-04-18 11:09:00,25.31,411.63,Normal,Completed
900078,24871,52914,2025-02-25 07:30:00,2025-02-25 08:12:00,32.32,516.44,Trickle,Scheduled
900079,22390,52265,2023-03-15 10:06:00,2023-03-15 11:37:00,17.89,318.22,Normal,Interrupted
900080,24514,57715,2024-02-06 19:25:00,2024-02-06 21:32:00,9.4,179.54,Normal,Scheduled
900081,15465,58780,2024-08-06 20:46:00,2024-08-06 23:45:00,38.75,796.57,Fast,Interrupted
900082,22922,63480,2023-12-23 16:27:00,2023-12-23 18:18:00,27.53,300.26,Trickle,Interrupted
900083,16101,62105,2023-04-09 12:58:00,2023-04-09 15:15:00,50.23,763.74,Trickle,Interrupted
900084,25263,56421,2023-10-13 08:45:00,2023-10-13 10:35:00,6.81,161.79,Fast,Scheduled
900085,11756,50147,2024-04-28 00:01:00,2024-04-28 02:51:00,5.2,56.86,Fast,Completed
900086,26217,62510,2023-08-05 17:06:00,2023-08-05 17:37:00,7.2,118.29,Normal,Completed
900087,21682,59318,2024-09-02 22:52:00,2024-09-03 01:03:00,23.73,437.57,Fast,Completed
900088,20093,64351,2024-02-28 15:52:00,2024-02-28 17:01:00,22.79,533.13,Fast,Scheduled
900089,23419,65124,2024-05-07 06:58:00,2024-05-07 08:24:00,22.91,247.95,Trickle,Completed
900090,23138,63515,2024-11-15 16:10:00,2024-11-15 17:25:00,42.96,654.04,Trickle,Completed
900091,28234,68711,2024-07-18 18:42:00,2024-07-18 21:05:00,15.67,172.59,Normal,Completed
900092,23369,55727,2024-02-22 07:00:00,2024-02-22 08:42:00,55.6,743.22,Trickle,Completed
900093,26657,51365,2023-03-06 10:04:00,2023-03-06 11:53:00,22.27,458.96,Normal,Scheduled
900094,20346,68060,2024-11-21 21:21:00,2024-11-21 23:36:00,37.82,629.91,Normal,Scheduled
900095,10746,59139,2023-04-17 02:54:00,2023-04-17 04:20:00,49.63,1188.17,Trickle,Completed
900096,10031,62036,2023-01-26 11:25:00,2023-01-26 14:21:00,16.18,270.4,Normal,Completed
900097,13916,67418,2024-02-17 18:18:00,2024-02-17 20:49:00,51,528.63,Fast,Scheduled
900098,19984,67071,2024-07-30 14:06:00,2024-07-30 16:01:00,25.18,537.46,Normal,Completed
900099,11902,60430,2023-05-09 00:09:00,2023-05-09 02:38:00,16.87,375.52,Trickle,Scheduled
900100,15196,61344,2024-07-27 08:47:00,2024-07-27 11:27:00,8.7,156.22,Fast,Interrupted
900101,19838,69513,2024-12-02 08:43:00,2024-12-02 10:12:00,8.75,206.7,Normal,Completed
900102,16437,66807,2024-02-15 04:17:00,2024-02-15 06:33:00,40,474.84,Trickle,Completed
900103,28075,55806,2023-07-07 05:00:00,2023-07-07 06:22:00,56.31,767.98,Normal,Completed
900104,20389,54110,2025-03-29 12:12:00,2025-03-29 13:21:00,53.4,1178.46,Fast,Scheduled
900105,12528,59812,2023-11-16 10:39:00,2023-11-16 11:12:00,40.39,756.84,Fast,Completed
900106,10934,58397,2023-07-21 21:05:00,2023-07-21 23:32:00,43.71,722.57,Fast,Scheduled
900107,13580,58094,2024-08-24 22:30:00,2024-08-25 00:59:00,57.33,1189.74,Trickle,Scheduled
900108,26980,62398,2024-09-28 04:21:00,2024-09-28 06:00:00,51.43,612.68,Trickle,Scheduled
900109,29691,69542,2024-11-14 03:08:00,2024-11-14 04:38:00,23.08,496.27,Fast,Scheduled
900110,23047,69066,2025-04-08 18:25:00,2025-04-08 19:55:00,49.35,1213.75,Fast,Completed
900111,27157,55672,2023-04-03 21:57:00,2023-04-03 23:15:00,41.14,585.41,Trickle,Scheduled
900112,11621,56545,2023-01-02 21:28:00,2023-01-03 00:01:00,15.64,256.15,Fast,Scheduled
900113,25799,50895,2023-12-18 13:32:00,2023-12-18 15:41:00,47.57,798.56,Fast,Completed
900114,26187,58327,2025-03-07 23:26:00,2025-03-08 00:39:00,27.67,464.36,Trickle,Scheduled
900115,20874,53279,2024-08-20 04:22:00,2024-08-20 05:00:00,11.7,184.07,Fast,Scheduled
900116,23562,58176,2024-08-28 00:11:00,2024-08-28 02:04:00,36.06,708.14,Trickle,Completed
900117,15073,57492,2023-11-08 16:19:00,2023-11-08 16:51:00,42.93,531.86,Trickle,Scheduled
900118,22024,64874,2023-08-22 10:18:00,2023-08-22 13:06:00,25.04,462.88,Normal,Completed
900119,23183,67382,2023-03-15 09:20:00,2023-03-15 11:15:00,7.82,129.84,Trickle,Interrupted
900120,13995,59811,2024-05-30 00:06:00,2024-05-30 02:06:00,40.26,959.01,Trickle,Completed
900121,15118,58239,2023-09-25 21:30:00,2023-09-26 00:28:00,8.15,200.78,Trickle,Scheduled
900122,25237,56195,2025-04-02 04:37:00,2025-04-02 06:48:00,55.7,1261.33,Trickle,Scheduled
900123,23971,65819,2024-10-07 00:28:00,2024-10-07 02:26:00,57.35,864.92,Trickle,Completed
900124,16821,65056,2025-04-09 03:26:00,2025-04-09 04:20:00,24.1,250.28,Trickle,Scheduled
900125,14993,61762,2023-05-10 13:34:00,2023-05-10 14:41:00,38.99,532.52,Fast,Scheduled
900126,27357,56437,2024-12-23 02:27:00,2024-12-23 05:18:00,8.72,188.8,Normal,Interrupted
900127,23993,69459,2024-09-10 18:32:00,2024-09-10 20:06:00,23,414.09,Normal,Completed
900128,18068,54258,2024-02-28 12:38:00,2024-02-28 13:45:00,53.15,1278.7,Trickle,Scheduled
900129,19717,56229,2023-12-05 11:47:00,2023-12-05 14:42:00,14.61,177.52,Normal,Completed
900130,24126,64655,2025-02-09 20:38:00,2025-02-09 21:09:00,56.73,872.7,Fast,Scheduled
900131,12602,61539,2024-06-13 04:35:00,2024-06-13 06:37:00,21.5,418.69,Fast,Completed
900132,23786,62830,2024-07-28 12:41:00,2024-07-28 15:07:00,18.7,345.46,Normal,Completed
900133,23935,61476,2023-08-15 08:56:00,2023-08-15 10:52:00,14.04,318.01,Fast,Scheduled
900134,28905,56858,2025-02-20 16:34:00,2025-02-20 19:10:00,45.25,562.79,Normal,Scheduled
900135,12470,53549,2024-02-05 07:40:00,2024-02-05 10:30:00,10.48,122.13,Fast,Scheduled
900136,25638,67955,2023-07-01 14:09:00,2023-07-01 15:38:00,33.37,548.57,Normal,Completed
900137,10190,57473,2024-02-08 13:45:00,2024-02-08 16:13:00,16.47,174.06,Trickle,Interrupted
900138,29988,50986,2025-01-25 12:30:00,2025-01-25 13:42:00,48.02,1055.57,Fast,Interrupted
900139,20139,65046,2023-12-24 01:44:00,2023-12-24 02:43:00,17.9,332.01,Normal,Completed
900140,26302,56499,2024-04-04 08:40:00,2024-04-04 11:15:00,5.17,58.06,Fast,Scheduled
900141,13954,54207,2023-03-15 20:00:00,2023-03-15 20:43:00,52.86,777.55,Trickle,Interrupted
900142,22849,61209,2024-11-13 06:47:00,2024-11-13 09:29:00,33.13,574.51,Trickle,Interrupted
900143,11954,56015,2023-06-08 09:55:00,2023-06-08 11:46:00,9.26,198.89,Trickle,Interrupted
900144,10632,56030,2024-04-25 03:47:00,2024-04-25 05:21:00,45.85,985.79,Normal,Scheduled
900145,19348,50200,2024-10-24 01:06:00,2024-10-24 02:19:00,42.69,1035.28,Trickle,Completed
900146,10368,61860,2024-10-31 02:50:00,2024-10-31 05:35:00,22.09,401.56,Fast,Completed
900147,21089,62539,2024-08-05 23:51:00,2024-08-06 02:32:00,44.17,729.62,Normal,Completed
900148,12800,54141,2024-10-12 18:55:00,2024-10-12 20:34:00,31.84,375.96,Normal,Scheduled
900149,24271,54547,2025-01-23 21:06:00,2025-01-23 22:28:00,57.84,913.28,Normal,Interrupted
900150,22094,62410,2023-11-05 03:27:00,2023-11-05 05:43:00,17.03,297.42,Fast,Scheduled
900151,29544,55926,2024-05-29 06:57:00,2024-05-29 08:55:00,20.89,422.06,Fast,Interrupted
900152,18731,66981,2023-12-28 02:18:00,2023-12-28 04:24:00,29.34,709.58,Fast,Scheduled
900153,24890,61831,2024-05-21 19:54:00,2024-05-21 21:06:00,41.2,769.51,Normal,Scheduled
900154,24820,55303,2023-07-04 12:28:00,2023-07-04 13:14:00,41.28,687.43,Normal,Completed
900155,18129,69154,2023-08-29 11:01:00,2023-08-29 12:46:00,26.91,354.11,Normal,Completed
900156,19646,50829,2024-04-04 12:42:00,2024-04-04 13:44:00,25.5,481.33,Normal,Interrupted
900157,24490,51466,2024-12-26 15:41:00,2024-12-26 18:03:00,26.06,340.92,Normal,Interrupted
900158,14300,62962,2024-01-09 02:46:00,2024-01-09 05:02:00,16.98,262.66,Fast,Interrupted
900159,15370,63177,2023-07-24 17:14:00,2023-07-24 19:14:00,11.6,140.32,Trickle,Interrupted
900160,18597,57281,2025-03-22 20:23:00,2025-03-22 23:05:00,51.19,1031.03,Fast,Interrupted
900161,16703,63765,2023-09-15 16:49:00,2023-09-15 18:57:00,16.6,251.05,Fast,Scheduled
900162,18133,61484,2024-02-19 21:07:00,2024-02-19 23:39:00,58.6,593.41,Trickle,Interrupted
900163,16295,53125,2024-12-21 06:20:00,2024-12-21 07:41:00,18.73,192.65,Fast,Scheduled
900164,24619,67862,2023-01-26 12:03:00,2023-01-26 14:45:00,40.29,928.86,Trickle,Interrupted
900165,12292,65584,2025-01-19 18:50:00,2025-01-19 20:54:00,51.8,1173.66,Normal,Scheduled
900166,19739,66151,2023-12-03 15:25:00,2023-12-03 16:15:00,48.88,532.15,Fast,Completed
900167,21735,57034,2024-06-12 12:27:00,2024-06-12 14:17:00,26.17,275.45,Normal,Scheduled
900168,27625,58726,2025-01-28 03:26:00,2025-01-28 05:08:00,33.38,495.5,Fast,Completed
900169,20633,66416,2024-04-14 22:48:00,2024-04-14 23:57:00,14.11,175.48,Trickle,Completed
900170,15588,65859,2025-04-12 04:51:00,2025-04-12 06:09:00,51.71,1188.95,Trickle,Interrupted
900171,22655,53061,2023-11-23 03:55:00,2023-11-23 06:23:00,6.64,161.98,Fast,Interrupted
900172,16170,59681,2025-03-02 22:16:00,2025-03-02 23:52:00,20.58,222.6,Normal,Completed
900173,25570,63849,2023-05-12 17:49:00,2023-05-12 20:32:00,13.57,334.1,Fast,Interrupted
900174,25393,51138,2024-04-21 07:30:00,2024-04-21 10:19:00,12.59,251.06,Trickle,Interrupted
900175,24920,61788,2025-04-13 01:54:00,2025-04-13 02:40:00,51.54,1093.83,Normal,Scheduled
900176,26915,60631,2023-04-28 05:00:00,2023-04-28 05:42:00,49.09,1089.43,Normal,Interrupted
900177,29544,54111,2025-04-11 07:36:00,2025-04-11 09:24:00,59.87,1211.87,Trickle,Interrupted
900178,15757,69870,2023-10-27 11:03:00,2023-10-27 12:03:00,42.83,871.17,Fast,Completed
900179,16508,54004,2024-07-27 04:42:00,2024-07-27 06:49:00,22.65,336.68,Fast,Interrupted
900180,12947,68383,2023-07-26 02:59:00,2023-07-26 05:23:00,14.85,368.84,Fast,Interrupted
900181,22944,50637,2024-10-31 02:03:00,2024-10-31 04:21:00,14.42,214.41,Trickle,Scheduled
900182,15748,60049,2024-09-27 16:40:00,2024-09-27 17:56:00,18.04,359.07,Fast,Completed
900183,19187,55620,2024-06-11 04:03:00,2024-06-11 04:47:00,48.1,1119.67,Fast,Scheduled
900184,12211,63493,2023-08-26 04:04:00,2023-08-26 06:26:00,28.16,455.39,Normal,Scheduled
900185,29834,66028,2024-05-29 14:18:00,2024-05-29 15:49:00,6.16,115.72,Normal,Scheduled
900186,16741,67810,2025-01-22 19:19:00,2025-01-22 21:07:00,9.41,145.67,Fast,Completed
900187,19089,68963,2024-08-26 17:35:00,2024-08-26 19:07:00,24.38,529.97,Normal,Interrupted
900188,10317,62559,2023-09-19 12:19:00,2023-09-19 13:21:00,54.76,915.29,Normal,Interrupted
900189,27656,67812,2023-03-08 18:54:00,2023-03-08 20:50:00,35.67,425.8,Trickle,Completed
900190,29364,58422,2024-10-20 06:58:00,2024-10-20 09:37:00,48.56,967.36,Trickle,Scheduled
900191,11292,60980,2024-07-18 03:15:00,2024-07-18 05:44:00,57.17,1320.65,Normal,Completed
900192,23816,51605,2023-12-06 15:34:00,2023-12-06 16:20:00,34.2,632.01,Trickle,Interrupted
900193,14104,50805,2024-09-09 03:56:00,2024-09-09 06:10:00,20.49,423.21,Normal,Scheduled
900194,16391,65265,2023-05-23 20:04:00,2023-05-23 21:56:00,12.69,178.96,Fast,Completed
900195,23952,52070,2023-04-08 09:02:00,2023-04-08 09:43:00,28.3,650.5,Normal,Completed
900196,12633,61312,2024-12-22 05:04:00,2024-12-22 07:47:00,48.86,819.82,Normal,Scheduled
900197,11243,52594,2025-03-01 06:13:00,2025-03-01 09:04:00,32.67,506.72,Trickle,Interrupted
900198,19377,57602,2024-03-07 06:52:00,2024-03-07 09:10:00,5.09,91.98,Fast,Completed
900199,29017,66788,2025-01-22 05:51:00,2025-01-22 06:57:00,43.07,838.5,Fast,Interrupted
900200,25275,60774,2023-11-30 02:48:00,2023-11-30 04:32:00,52.81,848.53,Fast,Interrupted
900201,23500,60001,2024-02-12 12:56:00,2024-02-12 14:12:00,52.09,531.95,Normal,Completed
900202,18010,53614,2024-09-27 11:10:00,2024-09-27 14:04:00,22.12,460.3,Normal,Completed
900203,26051,63686,2024-03-06 16:35:00,2024-03-06 18:53:00,7.87,160.4,Normal,Scheduled
900204,10275,50585,2024-04-12 04:52:00,2024-04-12 07:34:00,45.61,822.22,Trickle,Interrupted
900205,24240,60298,2025-04-09 23:35:00,2025-04-10 00:32:00,20.07,258.29,Fast,Completed
900206,13296,64307,2024-05-16 21:37:00,2024-05-17 00:08:00,12.78,230.09,Normal,Completed
900207,12237,60624,2024-12-31 04:42:00,2024-12-31 06:18:00,39.68,704.84,Normal,Interrupted
900208,15941,66259,2023-11-29 17:36:00,2023-11-29 19:01:00,45.94,941.69,Trickle,Completed
900209,22534,55171,2023-07-05 21:59:00,2023-07-05 23:43:00,15.05,164.41,Fast,Scheduled
900210,19228,66007,2023-04-16 19:12:00,2023-04-16 21:03:00,22.46,409.33,Trickle,Scheduled
900211,27062,60594,2024-06-13 00:24:00,2024-06-13 02:11:00,46.49,694.39,Trickle,Interrupted
900212,20166,50045,2023-08-13 18:54:00,2023-08-13 21:03:00,7.74,192.78,Trickle,Completed
900213,18943,69403,2024-11-07 19:17:00,2024-11-07 21:59:00,6.72,156.5,Fast,Scheduled
900214,13564,50716,2024-12-08 15:10:00,2024-12-08 17:51:00,24.43,366.8,Trickle,Scheduled
900215,16584,56486,2025-04-05 12:46:00,2025-04-05 14:44:00,38.01,663.9,Fast,Scheduled
900216,16473,64142,2023-06-14 06:04:00,2023-06-14 08:27:00,33.31,736.78,Fast,Interrupted
900217,23345,52394,2023-01-11 14:26:00,2023-01-11 16:57:00,29.72,621.24,Fast,Scheduled
900218,10023,64206,2024-05-08 13:47:00,2024-05-08 16:38:00,57.48,646.1,Normal,Scheduled
900219,27829,66464,2024-10-12 05:38:00,2024-10-12 07:55:00,41.25,737.02,Normal,Interrupted
900220,15175,63524,2024-09-27 10:57:00,2024-09-27 12:35:00,20.05,298.72,Trickle,Completed
900221,26777,65109,2023-07-16 01:47:00,2023-07-16 04:46:00,48.02,901.91,Trickle,Interrupted
900222,27898,62778,2024-04-08 00:49:00,2024-04-08 01:24:00,15.87,273.54,Trickle,Scheduled
900223,29055,53729,2024-02-06 03:26:00,2024-02-06 04:30:00,20.5,353.21,Trickle,Completed
900224,24709,64796,2023-07-28 22:45:00,2023-07-29 00:58:00,30.69,570.3,Normal,Completed
900225,28581,62959,2023-09-06 22:07:00,2023-09-07 00:26:00,59.88,1131.85,Trickle,Completed
900226,18135,64880,2024-05-07 02:10:00,2024-05-07 02:59:00,45.29,961.22,Normal,Completed
900227,14477,51546,2023-06-24 04:06:00,2023-06-24 05:57:00,13.38,133.88,Normal,Completed
900228,18889,65078,2024-07-10 20:30:00,2024-07-10 22:35:00,16.44,170.8,Trickle,Scheduled
900229,10561,58619,2025-01-21 07:28:00,2025-01-21 08:12:00,21.9,272.18,Normal,Scheduled
900230,22072,51917,2024-10-30 07:20:00,2024-10-30 07:59:00,40.83,673.66,Normal,Interrupted
900231,23186,51355,2023-05-30 07:07:00,2023-05-30 08:16:00,41.06,562.32,Trickle,Completed
900232,27234,67676,2024-11-14 06:39:00,2024-11-14 09:17:00,29.59,698.6,Normal,Completed
900233,16569,63462,2024-02-06 05:52:00,2024-02-06 07:59:00,27.05,423.44,Normal,Completed
900234,14147,58946,2024-12-25 23:00:00,2024-12-26 00:30:00,40.92,619.07,Trickle,Interrupted
900235,12026,62483,2023-12-07 13:02:00,2023-12-07 14:39:00,55.91,987.98,Normal,Interrupted
900236,20274,52805,2024-05-07 23:41:00,2024-05-08 02:22:00,54.75,1040.34,Trickle,Scheduled
900237,11184,55219,2025-03-06 22:40:00,2025-03-06 23:51:00,34.82,563.14,Normal,Completed
900238,20538,53472,2023-05-17 02:11:00,2023-05-17 03:15:00,56.95,707.96,Fast,Completed
900239,10486,58358,2023-08-15 04:54:00,2023-08-15 07:04:00,27.94,287.79,Trickle,Completed
900240,15723,62718,2025-04-09 21:18:00,2025-04-09 22:03:00,9.49,207.04,Trickle,Scheduled
900241,13586,66476,2023-09-07 11:34:00,2023-09-07 12:42:00,17.11,342.2,Trickle,Completed
900242,24446,62778,2023-02-02 11:04:00,2023-02-02 12:02:00,46.08,972.32,Fast,Scheduled
900243,17108,68667,2023-12-23 20:44:00,2023-12-23 22:04:00,12.28,128.49,Trickle,Interrupted
900244,20634,54342,2024-10-28 23:41:00,2024-10-29 01:24:00,45.29,1079.23,Trickle,Interrupted
900245,26654,58840,2025-01-16 20:08:00,2025-01-16 22:47:00,32.11,713.36,Normal,Scheduled
900246,18580,50101,2023-05-15 13:42:00,2023-05-15 16:02:00,38.96,690.97,Trickle,Scheduled
900247,15183,59077,2024-02-16 15:53:00,2024-02-16 18:52:00,55.41,1292.64,Normal,Interrupted
900248,25354,58019,2024-02-18 21:52:00,2024-02-19 00:23:00,40.85,689.63,Normal,Interrupted
900249,19611,55066,2024-12-27 05:03:00,2024-12-27 08:00:00,19.14,380.47,Trickle,Scheduled
900250,16313,67909,2024-05-16 01:43:00,2024-05-16 04:06:00,53.82,1279.68,Fast,Completed
900251,24031,68046,2025-03-07 11:56:00,2025-03-07 14:16:00,47.39,511.09,Trickle,Completed
900252,21200,65435,2025-02-07 05:09:00,2025-02-07 06:24:00,10.25,219.48,Fast,Scheduled
900253,12579,68569,2023-10-29 18:37:00,2023-10-29 20:13:00,7.32,131.05,Trickle,Interrupted
900254,25037,66729,2023-02-12 04:10:00,2023-02-12 06:49:00,53.07,1251.59,Trickle,Interrupted
900255,16034,61781,2025-01-12 23:12:00,2025-01-13 01:10:00,27.38,678.12,Fast,Scheduled
900256,19921,57044,2023-03-31 20:41:00,2023-03-31 22:19:00,56.24,720.98,Trickle,Completed
900257,22799,67214,2023-04-16 02:32:00,2023-04-16 04:58:00,59.77,1429.15,Normal,Completed
900258,22812,62964,2024-12-16 07:11:00,2024-12-16 07:49:00,46.42,932.4,Fast,Interrupted
900259,22411,58388,2024-11-26 15:51:00,2024-11-26 17:03:00,19.64,255.72,Normal,Scheduled
900260,10417,65709,2025-04-11 07:24:00,2025-04-11 09:16:00,27.94,596.27,Normal,Interrupted
900261,22993,52730,2024-06-19 20:09:00,2024-06-19 21:25:00,20.69,303.85,Normal,Scheduled
900262,26108,59565,2023-09-02 09:38:00,2023-09-02 10:09:00,49.61,797.73,Normal,Completed
900263,18160,58362,2024-11-05 22:07:00,2024-11-06 00:48:00,40.89,711.4,Trickle,Completed
