Station_ID,Location,Capacity_kW,Installation_Date,Power_Level
10044,Naya Raipur,250,2020-11-20,DC Fast
10045,Rohtak,200,2021-07-07,DC Fast
10046,Nellore,43,2023-02-22,Level 2
10047,Visakhapatnam,300,2022-12-22,DC Fast
10048,Madurai,90,2020-11-13,Level 2
10049,Nellore,90,2019-02-10,Level 2
10050,Tiruchirappalli,250,2020-01-25,DC Fast
10051,Hubli,300,2020-10-10,DC Fast
10052,Faridabad,3.3,2022-05-24,Level 1
10053,Belgaum,50,2020-07-17,Level 2
10054,Jaipur,100,2023-02-12,Level 2
10055,Cuttack,3.3,2021-05-18,Level 1
10056,Bareilly,250,2023-08-28,DC Fast
10057,Hosur,22,2023-12-21,Level 1
10058,Lucknow,7.2,2019-04-17,Level 1
10059,Ludhiana,43,2024-04-30,Level 2
10060,Cuttack,75,2019-02-28,Level 2
10061,Silchar,180,2021-04-17,DC Fast
10062,Gandhinagar,7.2,2021-02-27,Level 1
10063,Muzaffarpur,30,2020-03-27,Level 2
10064,Kota,180,2022-10-07,DC Fast
10065,Bengaluru,75,2019-04-25,Level 2
10066,Tuticorin,180,2022-10-12,DC Fast
10067,Vizhinjam,250,2022-01-16,DC Fast
10068,Howrah,7.2,2021-07-20,Level 1
10069,Karimnagar,90,2020-07-22,Level 2
10070,Karnal,150,2020-08-18,DC Fast
10071,Delhi,11,2021-08-26,Level 1
10072,Karimnagar,22,2024-04-17,Level 1
10073,Vadodara,100,2022-02-17,Level 2
10074,Naya Raipur,11,2023-07-01,Level 1
10075,Mysuru,180,2022-01-12,DC Fast
10076,Siliguri,11,2020-06-16,Level 1
10077,Nagpur,11,2022-08-27,Level 1
10078,Vadodara,90,2020-02-11,Level 2
10079,Meerut,300,2021-11-30,DC Fast
10080,Mysuru,120,2021-01-07,DC Fast
10081,Belgaum,200,2023-12-20,DC Fast
10082,Thane,22,2019-10-27,Level 1
10083,Raipur,30,2023-08-31,Level 2
10084,Paradip,30,2024-01-08,Level 2
10085,Shimla,30,2021-05-16,Level 2
10086,Jamshedpur,7.2,2021-03-01,Level 1
10087,Kochi,7.2,2022-06-23,Level 1
10088,Jabalpur,43,2023-07-09,Level 2
10089,Tirunelveli,150,2019-09-01,DC Fast
10090,Jaipur,150,2023-11-09,DC Fast
10091,Delhi,200,2023-02-28,DC Fast
10092,Imphal,7.2,2023-04-27,Level 1
10093,Anantapur,100,2023-01-24,Level 2
10094,Jodhpur,75,2020-07-25,Level 2
10095,Shimla,75,2024-02-12,Level 2
10096,Ghaziabad,30,2022-03-21,Level 2
10097,Mumbai,90,2022-07-25,Level 2
10098,Guntur,30,2020-04-12,Level 2
10099,Chennai,180,2023-03-05,DC Fast
10100,Siliguri,50,2024-06-19,Level 2
10101,Kolkata,60,2021-03-16,Level 2
10102,Balasore,30,2024-09-27,Level 2
10103,Siliguri,180,2020-02-20,DC Fast
10104,Belgaum,60,2023-10-20,Level 2
10105,Solapur,200,2020-06-19,DC Fast
10106,Ranchi,75,2019-03-27,Level 2
10107,Ghaziabad,150,2019-06-10,DC Fast
10108,Silchar,150,2020-02-07,DC Fast
10109,Nanded,90,2022-08-21,Level 2
10110,Itanagar,120,2023-04-18,DC Fast
10111,Faridabad,7.2,2021-09-25,Level 1
10112,Porbandar,200,2019-10-24,DC Fast
10113,Srinagar,3.3,2024-09-12,Level 1
10114,Guntur,11,2021-03-01,Level 1
10115,Thrissur,180,2021-09-18,DC Fast
10116,Howrah,30,2023-02-12,Level 2
10117,Warangal,90,2020-07-20,Level 2
10118,Vijayawada,50,2023-11-16,Level 2
10119,Vadodara,43,2021-11-17,Level 2
10120,Durgapur,120,2024-02-22,DC Fast
10121,Kalyan,7.2,2021-11-27,Level 1
10122,Amritsar,7.2,2020-12-19,Level 1
10123,Jhansi,200,2019-04-24,DC Fast
10124,Naya Raipur,100,2023-02-26,Level 2
10125,Mangalore,300,2019-05-07,DC Fast
10126,Kalyan,7.2,2023-06-24,Level 1
10127,Mysuru,120,2019-03-07,DC Fast
10128,Guwahati,90,2020-04-13,Level 2
10129,Dhanbad,300,2020-03-31,DC Fast
10130,Paradip,75,2022-02-25,Level 2
10131,Muzaffarpur,22,2024-04-14,Level 1
10132,Kalyan,3.3,2022-03-06,Level 1
10133,Meerut,30,2022-08-02,Level 2
10134,Kurukshetra,120,2019-12-03,DC Fast
10135,Dehradun,50,2023-11-17,Level 2
10136,Gaya,150,2021-12-19,DC Fast
10137,Ahmedabad,100,2024-04-27,Level 2
10138,Berhampur,22,2020-05-15,Level 1
10139,Tuticorin,50,2024-07-20,Level 2
10140,Jabalpur,250,2020-03-23,DC Fast
10141,Ghaziabad,100,2024-04-17,Level 2
10142,Rajkot,250,2022-09-06,DC Fast
10143,Kakinada,300,2020-09-13,DC Fast
10144,Tiruchirappalli,50,2021-12-01,Level 2
10145,Tuticorin,75,2023-05-26,Level 2
10146,Rewa,7.2,2020-12-06,Level 1
10147,Cuttack,250,2020-02-23,DC Fast
10148,Pune,150,2022-01-10,DC Fast
10149,Kakinada,90,2023-08-21,Level 2
10150,Muzaffarpur,180,2019-02-22,DC Fast
10151,Warangal,100,2020-04-19,Level 2
10152,Karimnagar,30,2024-04-18,Level 2
10153,Panipat,11,2022-03-29,Level 1
10154,Ahmedabad,180,2024-05-14,DC Fast
10155,Anantapur,150,2024-02-18,DC Fast
10156,Dehradun,30,2019-04-18,Level 2
10157,Solapur,300,2024-09-11,DC Fast
10158,Nellore,43,2021-07-02,Level 2
10159,Imphal,3.3,2024-05-02,Level 1
10160,Bokaro,3.3,2023-06-06,Level 1
10161,Gwalior,3.3,2020-05-03,Level 1
10162,Lucknow,180,2022-09-12,DC Fast
10163,Visakhapatnam,11,2022-01-09,Level 1
10164,Kolkata,75,2021-11-08,Level 2
10165,Naya Raipur,200,2020-07-06,DC Fast
10166,Rourkela,3.3,2020-08-08,Level 1
10167,Kurukshetra,60,2021-09-18,Level 2
10168,Varanasi,22,2019-12-19,Level 1
10169,Kollam,90,2020-01-28,Level 2
10170,Gandhinagar,43,2023-10-04,Level 2
10171,Bathinda,75,2020-11-21,Level 2
10172,Siliguri,150,2021-11-19,DC Fast
10173,Belgaum,100,2020-07-09,Level 2
10174,Howrah,120,2020-12-13,DC Fast
10175,Vizhinjam,11,2023-02-02,Level 1
10176,Surat,90,2021-11-26,Level 2
10177,Hosur,3.3,2024-09-21,Level 1
10178,Rohtak,60,2024-03-31,Level 2
10179,Dhanbad,100,2021-01-28,Level 2
10180,Siliguri,60,2021-06-01,Level 2
10181,Muzaffarpur,180,2020-11-27,DC Fast
10182,Howrah,200,2022-05-01,DC Fast
10183,Belgaum,250,2022-04-10,DC Fast
10184,Pune,30,2020-04-27,Level 2
10185,Ludhiana,150,2023-05-26,DC Fast
10186,Bathinda,3.3,2021-10-29,Level 1
10187,Surat,60,2019-02-25,Level 2
10188,Chennai,200,2024-07-08,DC Fast
10189,Cuttack,100,2021-02-23,Level 2
10190,Gandhinagar,90,2021-04-29,Level 2
10191,Kakinada,7.2,2024-09-18,Level 1
10192,Hyderabad,120,2021-02-12,DC Fast
10193,Jaipur,150,2024-02-06,DC Fast
10194,Aizawl,100,2020-03-29,Level 2
10195,Varanasi,30,2023-01-27,Level 2
10196,Ahmedabad,180,2021-11-29,DC Fast
10197,Srinagar,120,2021-01-12,DC Fast
10198,Patna,200,2022-05-29,DC Fast
10199,Chandigarh,50,2020-12-02,Level 2
10200,Hyderabad,22,2021-05-27,Level 1
10201,Balasore,75,2020-11-26,Level 2
10202,Solapur,75,2023-05-14,Level 2
10203,Satna,90,2021-03-30,Level 2
10204,Dharwad,43,2019-11-18,Level 2
10205,Porbandar,100,2020-06-25,Level 2
10206,Varanasi,22,2024-02-16,Level 1
10207,Ajmer,75,2022-01-13,Level 2
10208,Chandigarh,30,2020-10-05,Level 2
10209,Agra,43,2022-06-26,Level 2
10210,Nanded,22,2021-10-15,Level 1
10211,Tiruchirappalli,75,2020-03-24,Level 2
10212,Aligarh,7.2,2024-07-21,Level 1
10213,Vijayawada,43,2022-02-21,Level 2
10214,Howrah,300,2023-11-24,DC Fast
10215,Ghaziabad,300,2020-02-23,DC Fast
10216,Nanded,75,2022-12-15,Level 2
10217,Imphal,75,2022-02-26,Level 2
10218,Cuttack,22,2022-01-22,Level 1
10219,Chennai,180,2021-02-25,DC Fast
10220,Delhi,50,2019-12-15,Level 2
10221,Aizawl,250,2023-02-18,DC Fast
10222,Silchar,22,2021-03-03,Level 1
10223,Rohtak,180,2020-10-11,DC Fast
10224,Bhagalpur,120,2023-04-02,DC Fast
10225,Kolkata,43,2020-03-01,Level 2
10226,Varanasi,3.3,2020-05-08,Level 1
10227,Pimpri-Chinchwad,22,2019-08-27,Level 1
10228,Guwahati,7.2,2020-11-01,Level 1
10229,Ajmer,11,2020-03-29,Level 1
10230,Porbandar,300,2022-01-04,DC Fast
10231,Belgaum,120,2022-08-21,DC Fast
10232,Amritsar,43,2020-12-01,Level 2
10233,Vasai,75,2021-09-06,Level 2
10234,Chandigarh,30,2023-01-16,Level 2
10235,Dhanbad,300,2021-05-26,DC Fast
10236,Ghaziabad,7.2,2022-03-13,Level 1
10237,Aizawl,43,2023-08-07,Level 2
10238,Tuticorin,150,2023-12-22,DC Fast
10239,Agra,100,2020-09-30,Level 2
10240,Tiruchirappalli,3.3,2020-08-21,Level 1
10241,Kurukshetra,3.3,2020-09-07,Level 1
10242,Aligarh,30,2020-05-25,Level 2
10243,Paradip,150,2021-02-15,DC Fast
10244,Muzaffarpur,150,2023-12-28,DC Fast
10245,Siliguri,180,2022-01-15,DC Fast
10246,Porbandar,60,2022-12-13,Level 2
10247,Guntur,180,2021-03-27,DC Fast
10248,Nashik,180,2019-02-24,DC Fast
10249,Vizhinjam,150,2022-06-02,DC Fast
10250,Varanasi,50,2023-08-04,Level 2
10251,Rewa,7.2,2023-01-12,Level 1
10252,Hosur,200,2020-03-17,DC Fast
10253,Hubli,22,2019-09-15,Level 1
10254,Kohima,50,2021-12-14,Level 2
10255,Satna,22,2020-11-09,Level 1
10256,Visakhapatnam,11,2022-04-04,Level 1
10257,Darbhanga,90,2020-06-07,Level 2
10258,Jaipur,3.3,2022-06-06,Level 1
10259,Panipat,250,2019-06-09,DC Fast
10260,Pimpri-Chinchwad,3.3,2023-04-18,Level 1
10261,Belgaum,60,2020-12-14,Level 2
10262,Kota,180,2020-07-15,DC Fast
10263,Porbandar,50,2021-10-22,Level 2
10264,Delhi,180,2020-08-02,DC Fast
10265,Nagpur,50,2020-02-01,Level 2
10266,Dharwad,30,2019-11-02,Level 2
10267,Imphal,100,2023-04-15,Level 2
10268,Aurangabad,120,2019-12-02,DC Fast
10269,Kohima,100,2021-08-20,Level 2
10270,Durgapur,200,2023-07-10,DC Fast
10271,Porbandar,90,2023-12-05,Level 2
10272,Thrissur,43,2022-07-19,Level 2
10273,Gwalior,43,2020-07-23,Level 2
10274,Nashik,100,2024-05-06,Level 2
10275,Paradip,100,2022-01-05,Level 2
10276,Lucknow,120,2023-11-14,DC Fast
10277,Nellore,180,2023-11-01,DC Fast
10278,Visakhapatnam,200,2020-12-03,DC Fast
10279,Mumbai,22,2022-11-23,Level 1
10280,Hisar,300,2022-02-23,DC Fast
10281,Ambala,180,2020-04-14,DC Fast
10282,Karnal,50,2019-11-25,Level 2
10283,Pimpri-Chinchwad,120,2023-08-10,DC Fast
10284,Delhi,60,2021-01-17,Level 2
10285,Amritsar,200,2020-07-30,DC Fast
10286,Hubli,300,2022-05-10,DC Fast
10287,Ujjain,250,2019-07-25,DC Fast
10288,Tuticorin,300,2021-09-15,DC Fast
10289,Kollam,3.3,2019-07-19,Level 1
10290,Satna,90,2023-05-28,Level 2
10291,Ludhiana,250,2022-07-15,DC Fast
10292,Shimla,30,2023-03-17,Level 2
10293,Srinagar,100,2020-03-01,Level 2
10294,Varanasi,90,2022-12-19,Level 2
10295,Nellore,300,2024-06-11,DC Fast
10296,Bareilly,22,2019-09-13,Level 1
10297,Amritsar,60,2019-09-03,Level 2
10298,Jhansi,22,2024-08-10,Level 1
10299,Bhopal,30,2022-11-01,Level 2
10300,Guwahati,180,2019-09-27,DC Fast
10301,Pimpri-Chinchwad,7.2,2019-04-17,Level 1
10302,Gaya,11,2024-08-24,Level 1
10303,Balasore,90,2020-10-16,Level 2
10304,Lucknow,7.2,2019-09-10,Level 1
10305,Kohima,90,2021-05-14,Level 2
10306,Durgapur,90,2019-01-04,Level 2
10307,Nanded,300,2024-01-29,DC Fast
10308,Jaipur,250,2020-07-02,DC Fast
10309,Bhopal,120,2022-10-06,DC Fast
10310,Mysuru,3.3,2024-03-20,Level 1
10311,Imphal,250,2023-03-26,DC Fast
10312,Mumbai,7.2,2023-02-07,Level 1
10313,Rohtak,50,2021-01-15,Level 2
10314,Porbandar,120,2019-03-14,DC Fast
10315,Thane,75,2023-03-27,Level 2
10316,Naya Raipur,180,2020-11-24,DC Fast
10317,Bilaspur,300,2023-12-08,DC Fast
10318,Faridabad,300,2022-10-03,DC Fast
10319,Kochi,150,2022-10-07,DC Fast
10320,Hosur,11,2019-01-24,Level 1
10321,Satna,100,2019-10-03,Level 2
10322,Lucknow,7.2,2024-08-06,Level 1
10323,Patna,3.3,2022-10-12,Level 1
10324,Warangal,120,2021-01-07,DC Fast
10325,Rourkela,22,2020-10-19,Level 1
10326,Amritsar,120,2022-07-31,DC Fast
10327,Aurangabad,60,2023-01-22,Level 2
10328,Tuticorin,11,2022-01-28,Level 1
10329,Vadodara,150,2023-03-20,DC Fast
10330,Jhansi,22,2019-12-06,Level 1
10331,Anantapur,11,2021-03-09,Level 1
10332,Darbhanga,150,2021-11-24,DC Fast
10333,Pimpri-Chinchwad,30,2019-07-07,Level 2
10334,Rewa,50,2021-07-29,Level 2
10335,Kurukshetra,60,2022-02-25,Level 2
10336,Rewa,11,2019-11-20,Level 1
10337,Rewa,11,2019-01-30,Level 1
10338,Jodhpur,180,2024-01-09,DC Fast
10339,Ghaziabad,90,2022-04-27,Level 2
10340,Visakhapatnam,3.3,2022-01-01,Level 1
10341,Hisar,3.3,2020-02-12,Level 1
10342,Naya Raipur,7.2,2022-01-13,Level 1
10343,Kohima,50,2020-10-16,Level 2
10344,Nellore,43,2021-11-08,Level 2
10345,Rourkela,100,2020-05-14,Level 2
10346,Kota,100,2023-03-13,Level 2
10347,Bhopal,200,2022-12-21,DC Fast
10348,Darbhanga,75,2024-08-19,Level 2
10349,Warangal,120,2019-03-20,DC Fast
10350,Gwalior,3.3,2023-09-23,Level 1
10351,Vizhinjam,22,2021-09-27,Level 1
10352,Visakhapatnam,11,2020-10-26,Level 1
10353,Noida,43,2023-04-20,Level 2
10354,Bareilly,200,2024-02-08,DC Fast
10355,Saharanpur,43,2022-03-24,Level 2
10356,Warangal,300,2024-03-24,DC Fast
10357,Satna,7.2,2021-12-17,Level 1
10358,Tirupati,250,2019-11-12,DC Fast
10359,Rourkela,250,2023-11-10,DC Fast
10360,Jabalpur,3.3,2024-08-30,Level 1
10361,Bilaspur,7.2,2024-04-21,Level 1
10362,Satna,50,2022-05-10,Level 2
10363,Gandhinagar,150,2020-01-09,DC Fast
10364,Nanded,30,2022-12-17,Level 2
10365,Muzaffarpur,50,2019-07-21,Level 2
10366,Vadodara,30,2019-09-20,Level 2
10367,Nagpur,200,2020-08-27,DC Fast
10368,Panipat,7.2,2019-05-08,Level 1
10369,Aligarh,60,2022-09-09,Level 2
10370,Pimpri-Chinchwad,150,2019-05-21,DC Fast
10371,Nanded,250,2024-07-23,DC Fast
10372,Siliguri,100,2023-05-26,Level 2
10373,Ranchi,90,2020-05-01,Level 2
10374,Asansol,120,2023-06-11,DC Fast
10375,Karimnagar,3.3,2019-11-10,Level 1
10376,Rohtak,22,2019-05-21,Level 1
10377,Ghaziabad,60,2020-04-17,Level 2
10378,Bhopal,250,2021-05-06,DC Fast
10379,Silchar,100,2022-06-11,Level 2
10380,Rewa,7.2,2022-10-18,Level 1
10381,Warangal,300,2021-07-14,DC Fast
10382,Thane,43,2019-12-16,Level 2
10383,Hisar,30,2024-07-31,Level 2
10384,Silchar,60,2020-08-10,Level 2
10385,Noida,75,2022-08-31,Level 2
10386,Raipur,90,2021-10-19,Level 2
10387,Siliguri,75,2023-10-23,Level 2
10388,Satna,180,2022-03-30,DC Fast
10389,Coimbatore,11,2019-07-21,Level 1
10390,Salem,180,2024-09-27,DC Fast
10391,Paradip,75,2020-05-28,Level 2
10392,Jhansi,300,2022-09-08,DC Fast
10393,Navi Mumbai,250,2024-05-26,DC Fast
10394,Darbhanga,7.2,2021-06-27,Level 1
10395,Ujjain,180,2019-09-04,DC Fast
10396,Vizhinjam,11,2024-08-25,Level 1
10397,Bathinda,180,2020-02-21,DC Fast
10398,Rajkot,22,2023-11-25,Level 1
10399,Moradabad,200,2024-01-20,DC Fast
10400,Hubli,200,2024-07-13,DC Fast
10401,Amritsar,43,2021-03-23,Level 2
10402,Bathinda,90,2019-03-08,Level 2
10403,Nagpur,300,2023-04-22,DC Fast
10404,Mangalore,120,2023-05-22,DC Fast
10405,Salem,60,2019-09-30,Level 2
10406,Shillong,22,2020-09-24,Level 1
10407,Hubli,180,2021-01-30,DC Fast
10408,Gwalior,150,2019-05-01,DC Fast
10409,Saharanpur,50,2024-04-25,Level 2
10410,Gwalior,75,2021-09-08,Level 2
10411,Naya Raipur,90,2020-06-23,Level 2
10412,Dharwad,200,2019-05-27,DC Fast
10413,Paradip,300,2024-05-14,DC Fast
10414,Vadodara,7.2,2019-06-01,Level 1
10415,Rohtak,100,2023-03-02,Level 2
10416,Bathinda,75,2023-12-06,Level 2
10417,Mangalore,11,2021-08-29,Level 1
10418,Belgaum,60,2023-07-24,Level 2
10419,Srinagar,200,2020-08-22,DC Fast
10420,Kurukshetra,120,2023-02-24,DC Fast
10421,Porbandar,75,2023-03-19,Level 2
10422,Cuttack,60,2023-10-30,Level 2
10423,Porbandar,90,2019-05-24,Level 2
10424,Nellore,100,2024-05-19,Level 2
10425,Agra,43,2023-10-25,Level 2
10426,Coimbatore,7.2,2019-01-08,Level 1
10427,Pune,3.3,2020-12-06,Level 1
10428,Ranchi,100,2019-06-07,Level 2
10429,Allahabad,200,2024-02-23,DC Fast
10430,Shimla,60,2021-07-30,Level 2
10431,Lucknow,250,2023-01-06,DC Fast
10432,Amritsar,22,2022-03-27,Level 1
10433,Rohtak,75,2019-04-11,Level 2
10434,Durgapur,7.2,2023-03-15,Level 1
10435,Asansol,150,2022-08-12,DC Fast
10436,Delhi,7.2,2020-11-06,Level 1
10437,Hyderabad,200,2021-09-10,DC Fast
10438,Nanded,120,2021-09-16,DC Fast
10439,Nashik,120,2022-04-03,DC Fast
10440,Naya Raipur,50,2024-06-28,Level 2
10441,Berhampur,180,2023-08-13,DC Fast
10442,Tirupati,11,2020-11-20,Level 1
10443,Allahabad,100,2022-10-06,Level 2
10444,Karnal,30,2020-09-03,Level 2
10445,Gwalior,250,2022-07-28,DC Fast
10446,Jodhpur,75,2020-07-20,Level 2
10447,Kollam,100,2021-03-02,Level 2
10448,Bokaro,300,2024-09-19,DC Fast
10449,Kohima,90,2019-02-02,Level 2
10450,Jodhpur,250,2024-09-19,DC Fast
10451,Tirunelveli,60,2021-05-23,Level 2
10452,Thrissur,11,2021-09-27,Level 1
10453,Aligarh,180,2020-01-21,DC Fast
10454,Panipat,200,2019-10-01,DC Fast
10455,Gwalior,150,2023-09-24,DC Fast
10456,Patna,7.2,2023-10-06,Level 1
10457,Bareilly,30,2024-03-06,Level 2
10458,Muzaffarpur,30,2019-01-06,Level 2
10459,Varanasi,50,2019-09-30,Level 2
10460,Rourkela,75,2023-10-13,Level 2
10461,Madurai,7.2,2024-02-14,Level 1
10462,Dehradun,300,2021-01-08,DC Fast
10463,Belgaum,300,2022-12-10,DC Fast
10464,Tirupati,75,2019-12-13,Level 2
10465,Karimnagar,7.2,2024-07-07,Level 1
10466,Gangtok,100,2024-08-03,Level 2
10467,Guntur,11,2024-01-05,Level 1
10468,Guntur,50,2019-09-08,Level 2
10469,Vijayawada,50,2021-10-16,Level 2
10470,Porbandar,43,2023-06-16,Level 2
10471,Tirunelveli,150,2021-01-06,DC Fast
10472,Salem,75,2021-07-15,Level 2
10473,Darbhanga,11,2020-03-10,Level 1
10474,Ghaziabad,90,2024-06-21,Level 2
10475,Pune,50,2022-04-17,Level 2
10476,Kalyan,3.3,2024-09-23,Level 1
10477,Kollam,50,2020-08-16,Level 2
10478,Ajmer,30,2024-01-01,Level 2
10479,Bareilly,90,2021-08-16,Level 2
10480,Vadodara,7.2,2024-06-13,Level 1
10481,Itanagar,100,2020-12-18,Level 2
10482,Delhi,100,2021-03-02,Level 2
10483,Salem,180,2024-08-30,DC Fast
10484,Moradabad,120,2023-10-15,DC Fast
10485,Thane,22,2020-03-12,Level 1
10486,Varanasi,300,2022-10-13,DC Fast
10487,Kakinada,7.2,2023-05-31,Level 1
10488,Jabalpur,3.3,2022-08-07,Level 1
10489,Bilaspur,75,2024-03-22,Level 2
10490,Navi Mumbai,60,2019-01-30,Level 2
10491,Tirunelveli,30,2023-03-31,Level 2
10492,Bokaro,60,2022-04-05,Level 2
10493,Lucknow,150,2023-07-17,DC Fast
10494,Dharwad,75,2022-05-28,Level 2
10495,Bokaro,3.3,2020-11-01,Level 1
10496,Vadodara,30,2024-03-10,Level 2
10497,Agra,300,2021-09-09,DC Fast
10498,Karimnagar,90,2024-02-26,Level 2
10499,Asansol,22,2020-06-28,Level 1
10500,Allahabad,50,2020-02-03,Level 2
10501,Bathinda,180,2022-07-07,DC Fast
10502,Saharanpur,250,2019-02-28,DC Fast
10503,Delhi,7.2,2021-12-12,Level 1
10504,Agra,100,2021-05-19,Level 2
10505,Navi Mumbai,200,2023-05-07,DC Fast
10506,Saharanpur,180,2022-04-28,DC Fast
10507,Guntur,120,2024-09-27,DC Fast
10508,Kochi,300,2024-06-13,DC Fast
10509,Moradabad,250,2020-02-03,DC Fast
10510,Gangtok,43,2020-02-21,Level 2
10511,Belgaum,100,2019-04-28,Level 2
10512,Bhagalpur,90,2020-06-09,Level 2
10513,Bengaluru,250,2023-11-18,DC Fast
10514,Kolkata,180,2021-09-25,DC Fast
10515,Dhanbad,90,2023-12-19,Level 2
10516,Meerut,30,2021-01-18,Level 2
10517,Thane,7.2,2022-12-23,Level 1
10518,Saharanpur,150,2021-11-13,DC Fast
10519,Varanasi,60,2023-08-21,Level 2
10520,Balasore,50,2020-11-28,Level 2
10521,Noida,60,2023-08-06,Level 2
10522,Satna,11,2021-10-18,Level 1
10523,Thane,7.2,2020-03-31,Level 1
10524,Naya Raipur,100,2020-01-08,Level 2
10525,Surat,7.2,2019-05-08,Level 1
10526,Madurai,300,2022-08-30,DC Fast
10527,Solapur,200,2020-01-07,DC Fast
10528,Gwalior,250,2023-10-02,DC Fast
10529,Itanagar,180,2021-12-24,DC Fast
10530,Warangal,180,2019-11-29,DC Fast
10531,Asansol,7.2,2019-04-11,Level 1
10532,Mumbai,180,2022-12-16,DC Fast
10533,Ajmer,100,2019-05-16,Level 2
10534,Delhi,3.3,2020-11-24,Level 1
10535,Tiruchirappalli,100,2024-04-23,Level 2
10536,Bathinda,100,2020-05-20,Level 2
10537,Bokaro,90,2021-09-09,Level 2
10538,Shillong,250,2023-09-30,DC Fast
10539,Kolkata,180,2020-03-01,DC Fast
10540,Jodhpur,200,2021-11-15,DC Fast
10541,Chennai,50,2024-06-14,Level 2
10542,Salem,7.2,2021-02-02,Level 1
10543,Vijayawada,11,2021-04-08,Level 1
10544,Karimnagar,22,2022-12-25,Level 1
10545,Pimpri-Chinchwad,50,2020-11-09,Level 2
10546,Asansol,180,2023-06-14,DC Fast
10547,Jabalpur,50,2021-04-21,Level 2
10548,Guwahati,60,2020-08-16,Level 2
10549,Chandigarh,11,2023-07-29,Level 1
10550,Bareilly,75,2023-07-30,Level 2
10551,Porbandar,100,2024-08-17,Level 2
10552,Kurukshetra,43,2022-09-30,Level 2
10553,Balasore,43,2020-07-21,Level 2
10554,Chandigarh,100,2023-03-19,Level 2
10555,Shimla,11,2022-11-06,Level 1
10556,Ambala,50,2019-12-25,Level 2
10557,Bengaluru,43,2023-06-20,Level 2
10558,Nanded,75,2024-09-30,Level 2
10559,Imphal,200,2022-02-03,DC Fast
10560,Belgaum,11,2023-04-15,Level 1
10561,Kurukshetra,150,2024-09-24,DC Fast
10562,Gangtok,180,2022-03-31,DC Fast
10563,Rourkela,120,2022-01-11,DC Fast
10564,Guntur,120,2023-03-18,DC Fast
10565,Meerut,7.2,2022-06-23,Level 1
10566,Kakinada,250,2024-01-22,DC Fast
10567,Ambala,11,2020-05-21,Level 1
10568,Bareilly,7.2,2020-05-23,Level 1
10569,Kalyan,150,2023-09-22,DC Fast
10570,Kohima,75,2019-02-06,Level 2
10571,Patna,11,2021-09-14,Level 1
10572,Vasai,7.2,2019-02-02,Level 1
10573,Dharwad,7.2,2023-02-06,Level 1
10574,Vadodara,150,2022-08-18,DC Fast
10575,Itanagar,250,2020-03-30,DC Fast
10576,Asansol,150,2020-11-27,DC Fast
10577,Balasore,22,2023-07-22,Level 1
10578,Amritsar,30,2023-02-17,Level 2
10579,Kolkata,50,2024-01-05,Level 2
10580,Solapur,75,2022-03-07,Level 2
10581,Kota,11,2022-04-14,Level 1
10582,Anantapur,250,2020-12-11,DC Fast
10583,Dharwad,150,2019-11-08,DC Fast
10584,Ahmedabad,75,2023-05-15,Level 2
10585,Panipat,120,2023-03-08,DC Fast
10586,Chennai,75,2019-10-07,Level 2
10587,Bathinda,100,2020-05-01,Level 2
10588,Kakinada,250,2021-01-12,DC Fast
10589,Allahabad,30,2021-11-03,Level 2
